Timestamp Src_port Dest_port Seq_num Ack_num ACK FIN Corrupted
2014-11-04-11:32:30:030 54297 20000 0 1 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 1 2 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 2 3 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 3 4 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 4 5 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 5 6 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 6 7 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 7 8 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 8 9 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 9 10 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 10 11 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 11 12 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 12 13 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 13 14 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 14 15 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 15 16 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 16 17 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 17 18 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 18 19 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 19 20 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 20 21 0 0 uncorrupted
2014-11-04-11:32:30:030 54297 20000 21 22 0 0 uncorrupted
